Port,Port Name,Port RegionId,Indicator,Indicator Name,Indicator unit,Scale,Units,2018,2019,2020,2021,2022
AO,Angola,AO,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,6915000,7100000,7171110,7242821,6535300
BI,Burundi,BI,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,204929,182810,136077,137437,140000
BI,Burundi,BI,12376616,Container Traffic (TEUs),TEUs,units,TEUs,,,811,819,827
DJ,Djibouti,DJ,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,5432353,5489586,7470937,9379573,12147383
DJ,Djibouti,DJ,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,2767810
DJ,Djibouti,DJ,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,37.05
DJ,Djibouti,DJ,12376616,Container Traffic (TEUs),TEUs,units,TEUs,195250,224896,294902,356462,519500
DJ,Djibouti,DJ,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,163038
DJ,Djibouti,DJ,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,55.29
ER,Eritrea,ER,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,571915,635461,641816,648234,654000
KE,Kenya,KE,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,13281000,14419000,15962355,16414729,19062000
KE,Kenya,KE,12376616,Container Traffic (TEUs),TEUs,units,TEUs,436671,479355,585367,615733,618816
MU,Mauritius,MU,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,5602466,5686342,6226381,6295154,5878440
MU,Mauritius,MU,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-416714
MU,Mauritius,MU,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,-6.69
MU,Mauritius,MU,12376616,Container Traffic (TEUs),TEUs,units,TEUs,253770,266425,303583,334924,368416
MU,Mauritius,MU,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,33492
MU,Mauritius,MU,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,11.03
MZ,Mozambique,MZ,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,9982400,10598400,10869837,11458975,11957400
MZ,Mozambique,MZ,12376616,Container Traffic (TEUs),TEUs,units,TEUs,159072,170571,192732,223745,242979
NA,Namibia,NA,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,3012166,3567174,3933647,4795631,5052014
NA,Namibia,NA,12376616,Container Traffic (TEUs),TEUs,units,TEUs,72219,117547,143806,194102,171480
RE,Reunion,RE,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,3765077,3947463,4212109,4286963,4457000
RE,Reunion,RE,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,170037
RE,Reunion,RE,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,4.04
RE,Reunion,RE,12376616,Container Traffic (TEUs),TEUs,units,TEUs,189147,200837,245685,255371,275799
RE,Reunion,RE,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,20428
RE,Reunion,RE,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,8.31
RW,Rwanda,RW,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,523800,439286,523939,529178,535000
RW,Rwanda,RW,12376616,Container Traffic (TEUs),TEUs,units,TEUs,,,4698,4744,4791
ZA,S. Africa,ZA,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,173555067,179983594,183353197,185079584,182733841
ZA,S. Africa,ZA,12376616,Container Traffic (TEUs),TEUs,units,TEUs,3014236,3416780,3712090,3900319,3512550
SC,Seychelles,SC,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,755055,755600,763156,770787,778000
SD,Sudan,SD,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,7857967,9270190,8317633,8400809,8484000
SD,Sudan,SD,12376616,Container Traffic (TEUs),TEUs,units,TEUs,267711,330690,342148,390834,431223
SD,Sudan,SD,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,40389
SD,Sudan,SD,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,11.8
TZ,Tanzania,TZ,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,6863858,7291106,7427274,7421204,8103000
TZ,Tanzania,TZ,12376616,Container Traffic (TEUs),TEUs,units,TEUs,258389,272700,333980,373548,353738
KN.A16,Beira,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,2419000,2652500,2961200,2990812,2996100
KN.A16,Beira,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,5288
KN.A16,Beira,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,0.18
KN.A16,Beira,-,12376616,Container Traffic (TEUs),TEUs,units,TEUs,54303,54268,71167,85716,92236
KN.A16,Beira,-,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,6520
KN.A16,Beira,-,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,9.16
KN.A17,Bujumbura,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,204929,182810,136077,137437,140000
KN.A17,Bujumbura,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,2563
KN.A17,Bujumbura,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,1.88
KN.A17,Bujumbura,-,12376616,Container Traffic (TEUs),TEUs,units,TEUs,,,811,819,827
KN.A17,Bujumbura,-,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,8
KN.A17,Bujumbura,-,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,0.99
KN.A18,Cape Town,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,3508711,4134740,4081968,3205094,3058601
KN.A18,Cape Town,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-146493
KN.A18,Cape Town,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,-3.59
KN.A18,Cape Town,-,12376616,Container Traffic (TEUs),TEUs,units,TEUs,690895,782868,764005,767501,759951
KN.A18,Cape Town,-,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-7550
KN.A18,Cape Town,-,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,-0.99
KN.A19,Dar Es Salaam,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,6863858,7291106,7427274,7421204,8103000
KN.A19,Dar Es Salaam,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,681796
KN.A19,Dar Es Salaam,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,9.18
KN.A19,Dar Es Salaam,-,12376616,Container Traffic (TEUs),TEUs,units,TEUs,258389,272700,333980,373548,353738
KN.A19,Dar Es Salaam,-,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-19810
KN.A19,Dar Es Salaam,-,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,-5.93
KN.A20,Durban,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,40778495,43861241,41883269,41402495,37419282
KN.A20,Durban,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-3983213
KN.A20,Durban,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,-9.51
KN.A20,Durban,-,12376616,Container Traffic (TEUs),TEUs,units,TEUs,1899065,2198600,2479232,2642165,2395084
KN.A20,Durban,-,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-247081
KN.A20,Durban,-,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,-9.97
KN.A21,East London,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,1647848,1506111,1832892,1982498,1796569
KN.A21,East London,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-185929
KN.A21,East London,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,-10.14
KN.A21,East London,-,12376616,Container Traffic (TEUs),TEUs,units,TEUs,49338,38308,41986,57418,42224
KN.A21,East London,-,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-15194
KN.A21,East London,-,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,-36.19
KN.A22,Elizabeth,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,4189731,4870513,5547377,5427094,4605550
KN.A22,Elizabeth,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-821544
KN.A22,Elizabeth,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,-14.81
KN.A23,Lobito,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,665000,700000,707110,714181,
KN.A23,Lobito,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-714181
KN.A23,Lobito,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,-101
